,DRUG,BACKGROUND_RATE,conf_level,SENSITIVITY,SPECIFICITY,DPR,SENSITIVITY2,SPECIFICITY2
38,PZA,0.25,0.9,0.8606756458379333,0.8791159224176816,0.9651421422117189,0.7816322438339683,0.9774666834825745
39,PZA,0.25,0.95,0.856001825650388,0.8846698113207547,0.9583999443942448,0.7521556045718869,0.9794425526548115
40,LEV,0.05,0.9,0.9264649559555725,0.8213921901528014,0.9254270696452037,0.9100827689992476,0.9581276866740965
41,LEV,0.05,0.95,0.927007299270073,0.8243935770413393,0.9157687253613667,0.9078254326561325,0.9590829485750677
42,LEV,0.1,0.9,0.9246601941747573,0.8651889534883721,0.9232588699080158,0.8957863054928518,0.9704664862283076
43,LEV,0.1,0.95,0.9245723172628305,0.8675665815395841,0.9204993429697766,0.8946576373212942,0.9711033274956217
44,LEV,0.15,0.9,0.9242779078844653,0.8776871756856931,0.9235216819973718,0.890895410082769,0.9737302977232924
45,LEV,0.15,0.95,0.923921568627451,0.8817365269461078,0.9180026281208936,0.8863807373965388,0.9748447699410921
46,LEV,0.2,0.9,0.9197965571205008,0.8838345864661654,0.9312089356110381,0.8844996237772762,0.975402006049992
47,LEV,0.2,0.95,0.9197965571205008,0.8838345864661654,0.9293692509855453,0.8844996237772762,0.975402006049992
48,LEV,0.25,0.9,0.91943684004693,0.8838345864661654,0.9337713534822601,0.8844996237772762,0.975402006049992
49,LEV,0.25,0.95,0.9197337509788567,0.8837471783295711,0.93107752956636,0.8837471783295711,0.975402006049992
50,MXF,0.05,0.9,0.9444147514698022,0.7295623451692815,0.9227078674527343,0.9270724029380902,0.9369677139970168
51,MXF,0.05,0.95,0.9443552701979668,0.7300930713547052,0.9196178084976622,0.9260230849947534,0.937208295241303
52,MXF,0.1,0.9,0.9429494079655544,0.7339757017176372,0.9294572067493393,0.919202518363064,0.9388923639513064
53,MXF,0.1,0.95,0.9427491223332433,0.7368087800759814,0.9254319983736532,0.9157922350472193,0.9399990376750229
54,MXF,0.15,0.9,0.9424012979989184,0.7383474576271186,0.9338483431591786,0.914218258132214,0.9405764326613097
55,MXF,0.15,0.95,0.9426096372495939,0.7392781316348195,0.9288879853628786,0.9134312696747114,0.9409132464033104
56,MXF,0.2,0.9,0.9423545331529093,0.7392781316348195,0.9364098393982517,0.9134312696747114,0.9409132464033104
57,MXF,0.2,0.95,0.9421981004070556,0.7407723490505654,0.9325066070339499,0.9108079748163693,0.9415387576384545
58,MXF,0.25,0.9,0.9416870084079197,0.7407723490505654,0.9381988208985567,0.9108079748163693,0.9415387576384545
59,MXF,0.25,0.95,0.9421667119196308,0.7406616862326574,0.9353933726367147,0.9102833158447009,0.9415387576384545
60,BDQ,0.05,0.9,0.7925133689839572,0.7759162303664922,0.9538610038610038,0.754582484725051,0.985300178595961
61,BDQ,0.05,0.95,0.7889009793253536,0.7829373650107991,0.951994851994852,0.7382892057026477,0.9861931584008793
62,BDQ,0.1,0.9,0.7596266044340724,0.7713270142180095,0.9620978120978121,0.6629327902240326,0.986742684434675
63,BDQ,0.1,0.95,0.7590643274853801,0.7726190476190476,0.9618404118404118,0.6608961303462322,0.986880065943124
64,BDQ,0.15,0.9,0.7572928821470245,0.7726190476190476,0.9703346203346204,0.6608961303462322,0.986880065943124
65,BDQ,0.15,0.95,0.755608028335301,0.7738814993954051,0.964993564993565,0.6517311608961304,0.9871548289600219
66,BDQ,0.2,0.9,0.7547169811320755,0.7738814993954051,0.9694980694980695,0.6517311608961304,0.9871548289600219
67,BDQ,0.2,0.95,0.7535545023696683,0.7775061124694377,0.9689189189189189,0.6476578411405295,0.9874982827311444
68,BDQ,0.25,0.9,0.7535545023696683,0.7775061124694377,0.9704633204633205,0.6476578411405295,0.9874982827311444
69,BDQ,0.25,0.95,0.7245033112582782,0.7769886363636364,0.9631274131274131,0.5570264765784114,0.9892155515867564
70,LZD,0.05,0.9,0.30116959064327486,0.7054794520547946,0.9914929370372315,0.30029154518950435,0.9977005347593583
71,LZD,0.05,0.95,0.30116959064327486,0.7054794520547946,0.9914929370372315,0.30029154518950435,0.9977005347593583
72,LZD,0.1,0.9,0.2991202346041056,0.7034482758620689,0.9914404243028935,0.29737609329446063,0.9977005347593583
73,LZD,0.1,0.95,0.2991202346041056,0.7034482758620689,0.9914404243028935,0.29737609329446063,0.9977005347593583
74,LZD,0.15,0.9,0.2982456140350877,0.7034482758620689,0.9963766213306727,0.29737609329446063,0.9977005347593583
75,LZD,0.15,0.95,0.2991202346041056,0.7034482758620689,0.9927532426613453,0.29737609329446063,0.9977005347593583
76,LZD,0.2,0.9,0.2982456140350877,0.7034482758620689,0.9963766213306727,0.29737609329446063,0.9977005347593583
77,LZD,0.2,0.95,0.2982456140350877,0.7034482758620689,0.9963766213306727,0.29737609329446063,0.9977005347593583
