,DRUG,BACKGROUND_RATE,p_value,SENSITIVITY,SPECIFICITY,DPR,SENSITIVITY2,SPECIFICITY2
92,KAN,0.1,0.9,0.8355150825270348,0.9713139418254765,0.9182922138579043,0.7982599238716693,0.9737775061124695
93,KAN,0.1,0.95,0.8353276353276353,0.9713826151062261,0.9163140831913842,0.7971723762914628,0.9738997555012225
94,KAN,0.15,0.9,0.8054945054945055,0.97269820971867,0.9593933732622671,0.7971723762914628,0.9738997555012225
95,KAN,0.15,0.95,0.805937328202309,0.972573704155694,0.9554371119292269,0.7971723762914628,0.9738997555012225
96,KAN,0.2,0.9,0.8036605657237936,0.9751135563943446,0.9579647233364471,0.7879282218597063,0.9762224938875306
97,KAN,0.2,0.95,0.8036605657237936,0.9750672990642225,0.956371229188417,0.7879282218597063,0.9762224938875306
98,KAN,0.25,0.9,0.8036605657237936,0.9751675710181934,0.9598329578548271,0.7879282218597063,0.9762224938875306
99,KAN,0.25,0.95,0.8036605657237936,0.9751326471904366,0.9586241002252871,0.7879282218597063,0.9762224938875306
100,LEV,0.05,0.9,0.9290681502086231,0.9533601378518093,0.9224628450106157,0.9142335766423357,0.9576333089846604
101,LEV,0.05,0.95,0.9286713286713286,0.9653367453762941,0.9122717622080679,0.9087591240875912,0.9689032662005636
102,LEV,0.1,0.9,0.9273664479850047,0.9671361502347418,0.9228874734607219,0.9028284671532847,0.9700511322132944
103,LEV,0.1,0.95,0.9270931326434619,0.9682466635987115,0.9187261146496816,0.8991788321167883,0.9711989982260253
104,LEV,0.15,0.9,0.9269212635549269,0.9699127239320166,0.919660297239915,0.8968978102189781,0.9726599186058645
105,LEV,0.15,0.95,0.9267139479905437,0.9705814755228683,0.9186411889596603,0.8941605839416058,0.9732860273400814
106,LEV,0.2,0.9,0.9232218558643429,0.9709915014164306,0.9297664543524417,0.8941605839416058,0.9732860273400814
107,LEV,0.2,0.95,0.9232218558643429,0.9708991701716494,0.9273885350318471,0.8941605839416058,0.9732860273400814
108,LEV,0.25,0.9,0.9232218558643429,0.9711028332768935,0.9326539278131635,0.8941605839416058,0.9732860273400814
109,LEV,0.25,0.95,0.923004251299008,0.9715093273035613,0.9309554140127388,0.8914233576642335,0.9737034331628927
110,LZD,0.05,0.9,0.2975609756097561,0.9978929624947324,0.9910113901468368,0.2975609756097561,0.9979121720370242
111,LZD,0.05,0.95,0.2975609756097561,0.9978929624947324,0.9910113901468368,0.2975609756097561,0.9979121720370242
112,LZD,0.1,0.9,0.2975609756097561,0.9978929624947324,0.9910113901468368,0.2975609756097561,0.9979121720370242
113,LZD,0.1,0.95,0.2975609756097561,0.9978929624947324,0.9910113901468368,0.2975609756097561,0.9979121720370242
114,LZD,0.15,0.9,0.2975609756097561,0.9979050279329609,0.9966378482228626,0.2975609756097561,0.9979121720370242
115,LZD,0.15,0.95,0.2975609756097561,0.997896508203618,0.9926581583642102,0.2975609756097561,0.9979121720370242
116,LZD,0.2,0.9,0.2975609756097561,0.9979050279329609,0.9966378482228626,0.2975609756097561,0.9979121720370242
117,LZD,0.2,0.95,0.2975609756097561,0.9979050279329609,0.9966378482228626,0.2975609756097561,0.9979121720370242
118,LZD,0.25,0.9,0.2975609756097561,0.9979050279329609,0.9966378482228626,0.2975609756097561,0.9979121720370242
119,LZD,0.25,0.95,0.2975609756097561,0.9979050279329609,0.9966378482228626,0.2975609756097561,0.9979121720370242
120,MXF,0.05,0.9,0.9414368403132448,0.9363249516441006,0.9227457824316463,0.9269192088501509,0.9420708101640036
121,MXF,0.05,0.95,0.9431895961670089,0.9360997159987378,0.9073880162885398,0.9239021119678177,0.9429858520447667
122,MXF,0.1,0.9,0.9408121128699243,0.939683763979946,0.9232693426410704,0.9165269862554475,0.9449567114802562
123,MXF,0.1,0.95,0.9408121128699243,0.9395298484379833,0.921349621873182,0.9165269862554475,0.9449567114802562
124,MXF,0.15,0.9,0.9408121128699243,0.9401912045889101,0.9296684118673647,0.9165269862554475,0.9449567114802562
125,MXF,0.15,0.95,0.940771349862259,0.9400015364523315,0.9261780104712042,0.9158565202815957,0.9450270993172379
126,MXF,0.2,0.9,0.9406691962745775,0.9408979841172878,0.9304828388598022,0.9141803553469662,0.9455198141761104
127,MXF,0.2,0.95,0.9406691962745775,0.9407668171730313,0.9287958115183246,0.9141803553469662,0.9455198141761104
128,MXF,0.25,0.9,0.9406691962745775,0.9410060975609756,0.9318789994182665,0.9141803553469662,0.9455198141761104
129,MXF,0.25,0.95,0.9406691962745775,0.9410060975609756,0.9318789994182665,0.9141803553469662,0.9455198141761104
130,PZA,0.05,0.9,0.8639240506329114,0.9727181989575246,0.9761871862189674,0.8557993730407524,0.9734355596350089
131,PZA,0.05,0.95,0.8630573248407644,0.9737981569890085,0.9743448021740132,0.8495297805642633,0.9745154149343987
132,PZA,0.1,0.9,0.8528908655490934,0.9751497670290659,0.9649947031458708,0.7815047021943574,0.9758112412936667
133,PZA,0.1,0.95,0.8521320495185695,0.9762327854286984,0.9633826171065358,0.7768025078369906,0.9768910965930565
134,PZA,0.15,0.9,0.8496060294621446,0.9764472815320273,0.9714430473032104,0.7774294670846394,0.9768910965930565
135,PZA,0.15,0.95,0.8480968858131488,0.9789584138730878,0.967113444797568,0.7683385579937304,0.9794287565466228
136,PZA,0.2,0.9,0.8478336221837088,0.9794116023624221,0.9673437428031874,0.7667711598746082,0.9798606986663787
137,PZA,0.2,0.95,0.8461268839817736,0.980927635579634,0.9645801667357561,0.7567398119122257,0.9813724960855246
138,PZA,0.25,0.9,0.8461268839817736,0.980927635579634,0.9645801667357561,0.7567398119122257,0.9813724960855246
139,PZA,0.25,0.95,0.8397810218978102,0.9816331046691746,0.9587766569941504,0.7213166144200627,0.982074402030128
140,RIF,0.05,0.9,0.9627420390933284,0.9778180354267311,0.9663611043508828,0.9600109809663251,0.9788508041300426
141,RIF,0.05,0.95,0.9627283576608832,0.9778298267576626,0.964170790405884,0.9596449487554904,0.9789275707212222
142,RIF,0.1,0.9,0.9622572033508239,0.9782660521296885,0.9743111327438414,0.9565336749633968,0.9790043373124017
143,RIF,0.1,0.95,0.9626116585320932,0.9781889230033095,0.971796327844028,0.9565336749633968,0.9790043373124017
144,RIF,0.15,0.9,0.96190300911015,0.9783768826343044,0.9779075741597036,0.9565336749633968,0.9790043373124017
145,RIF,0.15,0.95,0.96190300911015,0.9783452098178939,0.9769070603823585,0.9565336749633968,0.9790043373124017
146,RIF,0.2,0.9,0.9614165890027959,0.9852678394154787,0.9711203050214975,0.9439970717423133,0.9857597973361993
147,RIF,0.2,0.95,0.9611996251171508,0.9854668524785984,0.9676590681701415,0.9385065885797951,0.9859900971097378
148,RIF,0.25,0.9,0.9611996251171508,0.9855399730607717,0.9710932641085963,0.9385065885797951,0.9859900971097378
149,RIF,0.25,0.95,0.9611377076879752,0.9855878032318259,0.9691463183797085,0.9369509516837482,0.9860668637009173
150,STM,0.05,0.9,0.9566770879857079,0.9110169491525424,0.9350486787204451,0.9429892141756548,0.9188777066178713
151,STM,0.05,0.95,0.9563259792886087,0.9143816452154448,0.930250347705146,0.935064935064935,0.9222323879231473
152,STM,0.1,0.9,0.9548819990745026,0.9236907170150596,0.9193324061196105,0.9084305524983491,0.9309748907187151
153,STM,0.1,0.95,0.9547363509099394,0.92809269567193,0.9102225312934631,0.9007263922518159,0.9356511131442513
154,STM,0.15,0.9,0.9542897327707455,0.9318181818181818,0.9147426981919332,0.8961038961038961,0.9383958523940226
155,STM,0.15,0.95,0.9536376604850214,0.9354289605083976,0.9052851182197497,0.8828967642526965,0.9421571617363017
156,STM,0.2,0.9,0.9536376604850214,0.935815002820079,0.908970792767733,0.8828967642526965,0.9421571617363017
157,STM,0.2,0.95,0.9530233678631655,0.941029428474037,0.9006954102920723,0.8707902267224301,0.9472400121988411
158,STM,0.25,0.9,0.9528529980657641,0.9423644202405265,0.9005563282336578,0.8674884437596302,0.9483582393005998
159,STM,0.25,0.95,0.9514200298953662,0.9467077484879608,0.8885257301808067,0.8406339423288576,0.952526176679882
