,DRUG,catalogue,SENSITIVITY,SPECIFICITY,COVERAGE,SENSITIVITY2,SPECIFICITY2,SENSITIVITY_LOW,SENSITIVITY_HIGH,SPECIFICITY_LOW,SPECIFICITY_HIGH,DPR_LOW,DPR_HIGH,TP,FN,TN,FP,UP,UN
30,LZD,WHOv1,0.2991202346041056,0.997680565294784,0.9914404243028935,0.29737609329446063,0.9977005347593583,0.25297996874574724,0.3497360142206879,0.9968774444241767,0.9982774805089728,0.9900292930666376,0.9926533233905944,102,239,18496,43,2,161
31,LZD,WHOv2,0.2991202346041056,0.997680565294784,0.9914404243028935,0.29737609329446063,0.9977005347593583,0.25297996874574724,0.3497360142206879,0.9968774444241767,0.9982774805089728,0.9900292930666376,0.9926533233905944,102,239,18496,43,2,161
32,CFZ,MTBC-CRyPTICv1.1.1-2025.8,0.19402985074626866,0.9870471431389309,0.9644125934092858,0.1867145421903052,0.9875071342507451,0.16277745730920068,0.22963675126875943,0.9851231736732918,0.9887251399440161,0.9614598163803796,0.9671468720702938,104,432,15012,197,21,560
33,CFZ,MTBC-CRyPTICv3.4.0-2025.8,0.17714285714285713,0.9913491382156772,0.9596961901261791,0.16696588868940754,0.9916925613545564,0.14686427167228844,0.21211185558527718,0.9897444801083642,0.9927045697781461,0.9565696563256689,0.9626064445477556,93,432,15012,131,32,626
34,CFZ,WHOv1,0.0,1.0,1.0,0.0,1.0,0.0,0.006849455867210193,0.9997564510598345,1.0,0.9997647583517343,1.0000000000000002,0,557,15769,0,0,0
35,CFZ,WHOv2,0.15789473684210525,0.985688025210084,0.9644125934092858,0.14542190305206462,0.986175407444987,0.1288981294030691,0.19197678492579262,0.9836756274277138,0.9874555070088388,0.9614598163803796,0.9671468720702938,81,432,15014,218,44,537
36,DLM,MTBC-CRyPTICv1.1.1-2025.8,0.2894736842105263,0.9993631384537002,0.5992777067188323,0.17277486910994763,0.999618320610687,0.2141664546344168,0.37850661237983235,0.998509902538465,0.9997279411031593,0.5909190230504104,0.607579019079239,33,81,7846,5,77,5249
37,DLM,MTBC-CRyPTICv3.4.0-2025.8,0.325,0.9989814107461167,0.599954856669927,0.20418848167539266,0.9993893129770992,0.2477585491060195,0.41309815914052683,0.9979911797003184,0.9994837682323076,0.5915983168204165,0.6082536338951873,39,81,7846,8,71,5246
38,DLM,WHOv1,0.06832298136645963,0.9997686613201727,0.9878113008802949,0.05759162303664921,0.9997709923664122,0.03857558367179726,0.1181899473151804,0.9993200004528026,0.9999213209238166,0.98579984666238,0.9895408552304444,11,150,12965,3,30,132
39,DLM,WHOv2,0.14772727272727273,0.9995374296507594,0.9891656007824844,0.13612565445026178,0.9995419847328244,0.10285000176064221,0.20765381191431967,0.9989910802373322,0.9997879831623272,0.9872588729404764,0.990789646124257,26,150,12965,6,15,129
