Drug,Build_FRS,Test_FRS,Sensitivity,Specificity,DPR,Sensitivity2,Specificity2
AMI,0.9,0.30000000000000004,83.79446640316206,98.4058394160584,92.45685379884944,81.53846153846153,98.5325736400774
AMI,0.9,0.4,83.32234673698088,98.43594981032973,92.50148780003967,81.02564102564102,98.55944958073533
AMI,0.9,0.5,82.89299867899604,98.45399918324486,92.51636580043642,80.44871794871796,98.57557514513007
AMI,0.9,0.6000000000000001,81.87211601845749,98.48387661088111,92.57091846855784,79.61538461538461,98.602451085788
AMI,0.9,0.7000000000000001,81.02766798418972,98.49032408486826,92.61059313628249,78.84615384615384,98.60782627391958
AMI,0.9,0.8,80.09228740936058,98.50329043154156,92.68002380480064,77.88461538461539,98.61857665018276
AMI,0.9,0.9,79.05138339920948,98.53343420822907,92.7444951398532,76.92307692307693,98.64545259084068
PZA,0.1,0.1,86.39240506329115,97.27181989575246,97.61871862189673,85.57993730407524,97.34355596350089
PZA,0.1,0.2,86.15335868187579,97.32756708804612,97.60950670167196,85.23510971786834,97.39754872847038
PZA,0.1,0.30000000000000004,85.68253968253968,97.374543037554,97.66477822302059,84.60815047021943,97.44074294044597
PZA,0.1,0.4,84.98889241510632,97.40338832908868,97.70623186403206,83.94984326018809,97.46773932293073
PZA,0.1,0.5,84.25221799746515,97.44951590594744,97.78913914605499,83.35423197492163,97.51093353490631
PZA,0.1,0.6000000000000001,83.47055098163395,97.47801559648249,97.82598682695408,82.6332288401254,97.53792991739107
PZA,0.1,0.7000000000000001,82.77936055713833,97.51686760314125,97.83519874717885,81.97492163009404,97.57572485286971
PZA,0.1,0.8,82.23205817262092,97.57230548028535,97.85822854774078,81.53605015673982,97.6297176178392
PZA,0.1,0.9,80.94184576485462,97.6281307016089,97.88125834830271,80.28213166144201,97.68371038280871
PZA,0.2,0.1,86.39670990192977,97.27721399656187,97.61871862189673,85.61128526645768,97.34895523999784
PZA,0.2,0.2,86.1665083887306,97.32756708804612,97.62332458200912,85.32915360501568,97.39754872847038
PZA,0.2,0.30000000000000004,85.69616238503014,97.374543037554,97.67859610335773,84.70219435736676,97.44074294044597
PZA,0.2,0.4,85.00317057704501,97.40338832908868,97.7200497443692,84.04388714733543,97.46773932293073
PZA,0.2,0.5,84.26717315606204,97.44951590594744,97.80295702639215,83.44827586206897,97.51093353490631
PZA,0.2,0.6000000000000001,83.48101265822785,97.47801559648249,97.83519874717885,82.69592476489028,97.53792991739107
PZA,0.2,0.7000000000000001,82.79025624802277,97.51686760314125,97.84441066740362,82.03761755485893,97.57572485286971
PZA,0.2,0.8,82.23767383059418,97.57230548028535,97.86283450785317,81.56739811912226,97.6297176178392
PZA,0.2,0.9,80.9478672985782,97.6281307016089,97.8858643084151,80.31347962382445,97.68371038280871
PZA,0.30000000000000004,0.1,86.38378720709309,97.28260869565217,97.60029478144719,85.51724137931035,97.3543545164948
PZA,0.30000000000000004,0.2,86.15774469433006,97.33296368172996,97.60950670167196,85.26645768025078,97.40294800496734
PZA,0.30000000000000004,0.30000000000000004,85.7188093730209,97.374543037554,97.70162590391968,84.858934169279,97.44074294044597
PZA,0.30000000000000004,0.4,85.02690724912947,97.40338832908868,97.74307954493115,84.20062695924764,97.46773932293073
PZA,0.30000000000000004,0.5,84.28209993674889,97.44951590594744,97.81677490672931,83.5423197492163,97.51093353490631
PZA,0.30000000000000004,0.6000000000000001,83.49668036674043,97.47801559648249,97.84901662751601,82.78996865203762,97.53792991739107
PZA,0.30000000000000004,0.7000000000000001,82.80657395701644,97.51686760314125,97.85822854774078,82.13166144200626,97.57572485286971
PZA,0.30000000000000004,0.8,82.2432859399684,97.57230548028535,97.86744046796555,81.5987460815047,97.6297176178392
PZA,0.30000000000000004,0.9,80.9478672985782,97.6281307016089,97.8858643084151,80.31347962382445,97.68371038280871
PZA,0.4,0.1,86.37515842839036,97.29339988907377,97.58187094099765,85.45454545454545,97.36515306948868
PZA,0.4,0.2,86.15335868187579,97.34375866467032,97.5956888213348,85.23510971786834,97.41374655796123
PZA,0.4,0.30000000000000004,85.71428571428571,97.37993685260068,97.6924139836949,84.82758620689656,97.44614221694293
PZA,0.4,0.4,85.03638089212274,97.4087813520846,97.74768550504352,84.26332288401254,97.47313859942767
PZA,0.4,0.5,84.28706923806513,97.45490760208033,97.81677490672931,83.57366771159874,97.51633281140327
PZA,0.4,0.6000000000000001,83.49668036674043,97.48340707964603,97.84441066740362,82.78996865203762,97.54332919388801
PZA,0.4,0.7000000000000001,82.80113815997471,97.52226093689508,97.84901662751601,82.10031347962382,97.58112412936667
PZA,0.4,0.8,82.23767383059418,97.57770158168344,97.85822854774078,81.56739811912226,97.63511689433616
PZA,0.4,0.9,80.94184576485462,97.63352869622913,97.87665238819032,80.28213166144201,97.68910965930566
PZA,0.5,0.1,86.35786802030458,97.29339988907377,97.5634471005481,85.32915360501568,97.36515306948868
