,Drug,Build_FRS,Test_FRS,Sensitivity,Specificity,DPR,Sensitivity2,Specificity2,catalogued_R,catalogued_S,catalogued_RS
805,ETH,0.30000000000000004,0.5,89.87246811702926,87.51790830945558,90.48335404539212,81.71896316507502,88.71894472768471,314,1,315
806,ETH,0.30000000000000004,0.6000000000000001,89.28838951310861,87.60737294201861,90.5618418470796,81.30968622100954,88.79177793962936,314,1,315
807,ETH,0.30000000000000004,0.7000000000000001,88.88056907525271,87.68996960486322,90.63378899862646,80.96862210095497,88.85651857246904,314,1,315
808,ETH,0.30000000000000004,0.8,88.13178584799701,87.77023405395748,90.68611419975146,80.28649386084584,88.92125920530873,314,1,315
809,ETH,0.30000000000000004,0.9,86.91275167785236,87.85797127308412,90.85617110340768,79.50204638472033,88.98599983814842,314,1,315
810,CIP,0.1,0.1,77.77777777777779,95.1219512195122,5.688282138794084,6.086956521739131,99.73821989528795,2,1,3
811,CIP,0.1,0.2,77.77777777777779,95.1219512195122,5.688282138794084,6.086956521739131,99.73821989528795,2,1,3
812,CIP,0.1,0.30000000000000004,77.77777777777779,95.1219512195122,5.688282138794084,6.086956521739131,99.73821989528795,2,1,3
813,CIP,0.1,0.4,77.77777777777779,95.1219512195122,5.688282138794084,6.086956521739131,99.73821989528795,2,1,3
814,CIP,0.1,0.5,77.77777777777779,95.1219512195122,5.688282138794084,6.086956521739131,99.73821989528795,2,1,3
815,CIP,0.1,0.6000000000000001,77.77777777777779,95.1219512195122,5.688282138794084,6.086956521739131,99.73821989528795,2,1,3
816,CIP,0.1,0.7000000000000001,77.77777777777779,95.1219512195122,5.688282138794084,6.086956521739131,99.73821989528795,2,1,3
817,CIP,0.1,0.8,77.77777777777779,95.23809523809523,5.802047781569966,6.086956521739131,99.73821989528795,2,1,3
818,CIP,0.1,0.9,77.77777777777779,95.23809523809523,5.802047781569966,6.086956521739131,99.73821989528795,2,1,3
819,ETH,0.7000000000000001,0.1,90.80675422138836,87.01368876080691,90.05821178625155,82.537517053206,88.3305009306466,311,1,312
820,ETH,0.7000000000000001,0.2,90.54054054054053,87.15621067769189,90.19556543920466,82.26466575716235,88.43570445901109,311,1,312
821,ETH,0.7000000000000001,0.30000000000000004,90.39399624765478,87.275824964132,90.37216299300151,82.16234652114598,88.51663025006069,311,1,312
822,ETH,0.7000000000000001,0.4,90.1313320825516,87.38020600089565,90.45719144482962,81.92360163710778,88.59755604111031,311,1,312
823,ETH,0.7000000000000001,0.5,89.8686679174484,87.5022381378693,90.48989469553274,81.68485675306958,88.7027595694748,311,1,312
824,ETH,0.7000000000000001,0.6000000000000001,89.29640718562875,87.59169797817141,90.5880044476421,81.37789904502046,88.77559278141945,311,1,312
825,ETH,0.7000000000000001,0.7000000000000001,88.89304412864622,87.67429388630676,90.6664922493296,81.07094133697134,88.84033341425912,311,1,312
826,ETH,0.7000000000000001,0.8,88.1451009723261,87.77023405395748,90.70573615017332,80.38881309686221,88.92125920530873,311,1,312
827,ETH,0.7000000000000001,0.9,86.92737430167597,87.85797127308412,90.87579305382954,79.6043656207367,88.98599983814842,311,1,312
828,BDQ,0.6000000000000001,0.1,46.616541353383454,99.40743248963007,95.17208413001912,41.05960264900662,99.4355293927909,34,0,34
829,BDQ,0.6000000000000001,0.2,45.11278195488722,99.43345171655675,95.27565328234544,39.735099337748345,99.45972099024272,34,0,34
830,BDQ,0.6000000000000001,0.30000000000000004,42.22222222222222,99.48518862351253,95.47482472912682,37.74834437086093,99.50810418514637,34,0,34
831,BDQ,0.6000000000000001,0.4,41.30434782608695,99.53617810760667,95.5704270235819,37.74834437086093,99.55648738005,34,0,34
832,BDQ,0.6000000000000001,0.5,38.405797101449274,99.56169925826029,95.61822817080943,35.099337748344375,99.58067897750182,34,0,34
833,BDQ,0.6000000000000001,0.6000000000000001,35.507246376811594,99.6124031007752,95.65009560229446,32.450331125827816,99.62906217240544,34,0,34
834,BDQ,0.6000000000000001,0.7000000000000001,31.88405797101449,99.62105263157895,95.70586360739325,29.13907284768212,99.63712603822272,34,0,34
835,BDQ,0.6000000000000001,0.8,31.654676258992804,99.6718000504923,95.77756532823454,29.13907284768212,99.68550923312635,34,0,34
836,BDQ,0.6000000000000001,0.9,29.28571428571429,99.70563498738436,95.8413001912046,27.1523178807947,99.71776469639545,34,0,34
837,CIP,0.2,0.1,77.77777777777779,95.1219512195122,5.688282138794084,6.086956521739131,99.73821989528795,2,1,3
838,CIP,0.2,0.2,77.77777777777779,95.1219512195122,5.688282138794084,6.086956521739131,99.73821989528795,2,1,3
839,CIP,0.2,0.30000000000000004,77.77777777777779,95.1219512195122,5.688282138794084,6.086956521739131,99.73821989528795,2,1,3
840,CIP,0.2,0.4,77.77777777777779,95.1219512195122,5.688282138794084,6.086956521739131,99.73821989528795,2,1,3
841,CIP,0.2,0.5,77.77777777777779,95.1219512195122,5.688282138794084,6.086956521739131,99.73821989528795,2,1,3
842,CIP,0.2,0.6000000000000001,77.77777777777779,95.1219512195122,5.688282138794084,6.086956521739131,99.73821989528795,2,1,3
843,CIP,0.2,0.7000000000000001,77.77777777777779,95.1219512195122,5.688282138794084,6.086956521739131,99.73821989528795,2,1,3
844,CIP,0.2,0.8,77.77777777777779,95.23809523809523,5.802047781569966,6.086956521739131,99.73821989528795,2,1,3
845,CIP,0.2,0.9,77.77777777777779,95.23809523809523,5.802047781569966,6.086956521739131,99.73821989528795,2,1,3
846,CIP,0.5,0.1,77.77777777777779,95.1219512195122,5.688282138794084,6.086956521739131,99.73821989528795,2,1,3
847,CIP,0.5,0.2,77.77777777777779,95.1219512195122,5.688282138794084,6.086956521739131,99.73821989528795,2,1,3
848,CIP,0.5,0.30000000000000004,77.77777777777779,95.1219512195122,5.688282138794084,6.086956521739131,99.73821989528795,2,1,3
849,CIP,0.5,0.4,77.77777777777779,95.1219512195122,5.688282138794084,6.086956521739131,99.73821989528795,2,1,3
850,CIP,0.5,0.5,77.77777777777779,95.1219512195122,5.688282138794084,6.086956521739131,99.73821989528795,2,1,3
851,CIP,0.5,0.6000000000000001,77.77777777777779,95.1219512195122,5.688282138794084,6.086956521739131,99.73821989528795,2,1,3
852,CIP,0.5,0.7000000000000001,77.77777777777779,95.1219512195122,5.688282138794084,6.086956521739131,99.73821989528795,2,1,3
853,CIP,0.5,0.8,77.77777777777779,95.23809523809523,5.802047781569966,6.086956521739131,99.73821989528795,2,1,3
854,CIP,0.5,0.9,77.77777777777779,95.23809523809523,5.802047781569966,6.086956521739131,99.73821989528795,2,1,3
855,BDQ,0.5,0.1,48.92086330935252,99.06360722119116,95.54652644996813,45.033112582781456,99.10491089428271,35,0,35
856,BDQ,0.5,0.2,47.482014388489205,99.09826394741278,95.6421287444232,43.70860927152318,99.1371663575518,35,0,35
857,BDQ,0.5,0.30000000000000004,44.680851063829785,99.1421362489487,95.84926704907585,41.72185430463576,99.17748568663818,35,0,35
858,BDQ,0.5,0.4,43.35664335664335,99.23490835715486,95.89706819630338,41.05960264900662,99.26618821062817,35,0,35
859,BDQ,0.5,0.5,40.55944055944056,99.26050420168067,95.94486934353091,38.41059602649007,99.29037980808,35,0,35
860,BDQ,0.5,0.6000000000000001,37.32394366197183,99.32784405982189,95.95283620140216,35.099337748344375,99.35489073461817,35,0,35
861,BDQ,0.5,0.7000000000000001,33.80281690140845,99.33663615752792,96.00860420650096,31.788079470198678,99.36295460043544,35,0,35
862,BDQ,0.5,0.8,33.56643356643357,99.38742972224553,96.08030592734225,31.788079470198678,99.41133779533908,35,0,35
863,BDQ,0.5,0.9,30.28169014084507,99.42967373983058,96.12014021669853,28.47682119205298,99.45165712442545,35,0,35
864,KAN,0.1,0.1,82.2185061315496,97.1596724667349,91.76891884775397,78.54100106496273,97.405177955701,11,6,17
865,KAN,0.1,0.2,81.81818181818183,97.18264869354117,91.8742429827795,78.1150159744409,97.42271053708141,11,6,17
866,KAN,0.1,0.30000000000000004,81.20468488566648,97.2098071766058,91.921638843541,77.52928647497338,97.44608731225527,11,6,17
867,KAN,0.1,0.4,80.7928531546622,97.24864347270986,91.92690505029228,77.05005324813632,97.48115247501607,11,6,17
868,KAN,0.1,0.5,80.40201005025126,97.26280865182162,91.96903470430249,76.6773162939297,97.492840862603,11,6,17
869,KAN,0.1,0.6000000000000001,79.46428571428571,97.29609081053503,92.01643056506398,75.82534611288605,97.52206183157034,11,6,17
870,KAN,0.1,0.7000000000000001,78.73883928571429,97.31659124227166,92.05856021907421,75.13312034078807,97.53959441295073,11,6,17
871,KAN,0.1,0.8,78.01339285714286,97.35082468318156,92.13228711359208,74.4408945686901,97.56881538191806,11,6,17
872,KAN,0.1,0.9,77.09030100334448,97.37763350518745,92.18494918110484,73.64217252396166,97.59219215709193,11,6,17
873,CIP,0.30000000000000004,0.1,77.77777777777779,95.1219512195122,5.688282138794084,6.086956521739131,99.73821989528795,2,1,3
874,CIP,0.30000000000000004,0.2,77.77777777777779,95.1219512195122,5.688282138794084,6.086956521739131,99.73821989528795,2,1,3
875,CIP,0.30000000000000004,0.30000000000000004,77.77777777777779,95.1219512195122,5.688282138794084,6.086956521739131,99.73821989528795,2,1,3
876,CIP,0.30000000000000004,0.4,77.77777777777779,95.1219512195122,5.688282138794084,6.086956521739131,99.73821989528795,2,1,3
877,CIP,0.30000000000000004,0.5,77.77777777777779,95.1219512195122,5.688282138794084,6.086956521739131,99.73821989528795,2,1,3
878,CIP,0.30000000000000004,0.6000000000000001,77.77777777777779,95.1219512195122,5.688282138794084,6.086956521739131,99.73821989528795,2,1,3
879,CIP,0.30000000000000004,0.7000000000000001,77.77777777777779,95.1219512195122,5.688282138794084,6.086956521739131,99.73821989528795,2,1,3
880,CIP,0.30000000000000004,0.8,77.77777777777779,95.23809523809523,5.802047781569966,6.086956521739131,99.73821989528795,2,1,3
881,CIP,0.30000000000000004,0.9,77.77777777777779,95.23809523809523,5.802047781569966,6.086956521739131,99.73821989528795,2,1,3
882,KAN,0.5,0.1,82.2185061315496,97.1596724667349,91.76891884775397,78.54100106496273,97.405177955701,11,6,17
883,KAN,0.5,0.2,81.81818181818183,97.18264869354117,91.8742429827795,78.1150159744409,97.42271053708141,11,6,17
884,KAN,0.5,0.30000000000000004,81.20468488566648,97.2098071766058,91.921638843541,77.52928647497338,97.44608731225527,11,6,17
885,KAN,0.5,0.4,80.7928531546622,97.24864347270986,91.92690505029228,77.05005324813632,97.48115247501607,11,6,17
886,KAN,0.5,0.5,80.40201005025126,97.26280865182162,91.96903470430249,76.6773162939297,97.492840862603,11,6,17
887,KAN,0.5,0.6000000000000001,79.46428571428571,97.29609081053503,92.01643056506398,75.82534611288605,97.52206183157034,11,6,17
888,KAN,0.5,0.7000000000000001,78.73883928571429,97.31659124227166,92.05856021907421,75.13312034078807,97.53959441295073,11,6,17
889,KAN,0.5,0.8,78.01339285714286,97.35082468318156,92.13228711359208,74.4408945686901,97.56881538191806,11,6,17
890,KAN,0.5,0.9,77.09030100334448,97.37763350518745,92.18494918110484,73.64217252396166,97.59219215709193,11,6,17
891,CIP,0.6000000000000001,0.1,77.77777777777779,95.1219512195122,5.688282138794084,6.086956521739131,99.73821989528795,2,1,3
892,CIP,0.6000000000000001,0.2,77.77777777777779,95.1219512195122,5.688282138794084,6.086956521739131,99.73821989528795,2,1,3
893,CIP,0.6000000000000001,0.30000000000000004,77.77777777777779,95.1219512195122,5.688282138794084,6.086956521739131,99.73821989528795,2,1,3
894,CIP,0.6000000000000001,0.4,77.77777777777779,95.1219512195122,5.688282138794084,6.086956521739131,99.73821989528795,2,1,3
895,CIP,0.6000000000000001,0.5,77.77777777777779,95.1219512195122,5.688282138794084,6.086956521739131,99.73821989528795,2,1,3
896,CIP,0.6000000000000001,0.6000000000000001,77.77777777777779,95.1219512195122,5.688282138794084,6.086956521739131,99.73821989528795,2,1,3
897,CIP,0.6000000000000001,0.7000000000000001,77.77777777777779,95.1219512195122,5.688282138794084,6.086956521739131,99.73821989528795,2,1,3
898,CIP,0.6000000000000001,0.8,77.77777777777779,95.23809523809523,5.802047781569966,6.086956521739131,99.73821989528795,2,1,3
899,CIP,0.6000000000000001,0.9,77.77777777777779,95.23809523809523,5.802047781569966,6.086956521739131,99.73821989528795,2,1,3
900,CIP,0.9,0.1,77.77777777777779,95.1219512195122,5.688282138794084,6.086956521739131,99.73821989528795,2,1,3
901,CIP,0.9,0.2,77.77777777777779,95.1219512195122,5.688282138794084,6.086956521739131,99.73821989528795,2,1,3
902,CIP,0.9,0.30000000000000004,77.77777777777779,95.1219512195122,5.688282138794084,6.086956521739131,99.73821989528795,2,1,3
903,CIP,0.9,0.4,77.77777777777779,95.1219512195122,5.688282138794084,6.086956521739131,99.73821989528795,2,1,3
904,CIP,0.9,0.5,77.77777777777779,95.1219512195122,5.688282138794084,6.086956521739131,99.73821989528795,2,1,3
905,CIP,0.9,0.6000000000000001,77.77777777777779,95.1219512195122,5.688282138794084,6.086956521739131,99.73821989528795,2,1,3
906,CIP,0.9,0.7000000000000001,77.77777777777779,95.1219512195122,5.688282138794084,6.086956521739131,99.73821989528795,2,1,3
907,CIP,0.9,0.8,77.77777777777779,95.23809523809523,5.802047781569966,6.086956521739131,99.73821989528795,2,1,3
