,Drug,Build_FRS,Test_FRS,Sensitivity,Specificity,Coverage
291,ETH,0.6,0.4,90.67002881844381,86.64214586884363,91.84036939313984
292,ETH,0.6,0.5,90.41441441441441,86.76470588235294,91.86675461741424
293,ETH,0.6,0.6,89.85976267529665,86.84587813620071,91.95910290237467
294,ETH,0.6,0.7000000000000001,89.42826321467098,86.92927484333035,92.02506596306068
295,ETH,0.6,0.8,88.73290136789058,87.03471725125269,92.04485488126649
296,ETH,0.6,0.9,87.52247393024092,87.14579422544024,92.13720316622691
297,ETH,0.7000000000000001,0.1,91.31531531531532,86.27221069721294,91.43799472295514
298,ETH,0.7000000000000001,0.2,91.05984138428262,86.43075814874842,91.55672823218998
299,ETH,0.7000000000000001,0.30000000000000004,90.91564527757751,86.56005749708022,91.72163588390502
300,ETH,0.7000000000000001,0.4,90.66330209084354,86.66547020818378,91.80738786279683
301,ETH,0.7000000000000001,0.5,90.40750090155066,86.78805274015606,91.83377308707124
302,ETH,0.7000000000000001,0.6,89.8524649154372,86.86923007977055,91.92612137203167
303,ETH,0.7000000000000001,0.7000000000000001,89.42826321467098,86.95262827975284,92.00527704485488
304,ETH,0.7000000000000001,0.8,88.73290136789058,87.05808645842656,92.02506596306068
305,ETH,0.7000000000000001,0.9,87.52247393024092,87.16917024320458,92.1174142480211
306,ETH,0.8,0.1,91.30277878022375,86.24887285843101,91.43139841688654
307,ETH,0.8,0.2,91.04693140794224,86.40741740930777,91.55013192612137
308,ETH,0.8,0.30000000000000004,90.90252707581227,86.53673432728579,91.71503957783641
309,ETH,0.8,0.4,90.64981949458483,86.64991925354387,91.79419525065963
310,ETH,0.8,0.5,90.39364391477068,86.77248677248677,91.82058047493403
311,ETH,0.8,0.6,89.83783783783784,86.85366072228695,91.91292875989447
312,ETH,0.8,0.7000000000000001,89.41303564998199,86.93705792819411,91.99208443271768
313,ETH,0.8,0.8,88.7410071942446,87.04250559284117,92.05145118733509
314,ETH,0.8,0.9,87.52695902228612,87.1535848381906,92.13720316622691
315,ETH,0.9,0.1,91.29649693029974,86.26443001443002,91.40501319261215
316,ETH,0.9,0.2,91.04046242774567,86.42297650130548,91.52374670184696
317,ETH,0.9,0.30000000000000004,90.89595375722543,86.55228171038448,91.688654353562
318,ETH,0.9,0.4,90.64306358381504,86.65769403319874,91.77440633245382
319,ETH,0.9,0.5,90.38670039754247,86.78026905829597,91.80079155672823
320,ETH,0.9,0.6,89.83050847457628,86.86144470335185,91.89313984168865
321,ETH,0.9,0.7000000000000001,89.4054054054054,86.94484240687679,91.97229551451187
322,ETH,0.9,0.8,88.72884407634137,87.05029532844102,92.02506596306068
323,ETH,0.9,0.9,87.53591954022988,87.16137684398748,92.14379947229551
324,CIP,0.1,0.1,77.77777777777779,95.1219512195122,5.688282138794084
325,CIP,0.1,0.2,77.77777777777779,95.1219512195122,5.688282138794084
326,CIP,0.1,0.30000000000000004,77.77777777777779,95.1219512195122,5.688282138794084
327,CIP,0.1,0.4,77.77777777777779,95.1219512195122,5.688282138794084
328,CIP,0.1,0.5,77.77777777777779,95.1219512195122,5.688282138794084
329,CIP,0.1,0.6,77.77777777777779,95.1219512195122,5.688282138794084
330,CIP,0.1,0.7000000000000001,77.77777777777779,95.1219512195122,5.688282138794084
331,CIP,0.1,0.8,77.77777777777779,95.23809523809523,5.802047781569966
332,CIP,0.1,0.9,77.77777777777779,95.23809523809523,5.802047781569966
333,CIP,0.2,0.1,77.77777777777779,95.1219512195122,5.688282138794084
334,CIP,0.2,0.2,77.77777777777779,95.1219512195122,5.688282138794084
335,CIP,0.2,0.30000000000000004,77.77777777777779,95.1219512195122,5.688282138794084
336,CIP,0.2,0.4,77.77777777777779,95.1219512195122,5.688282138794084
337,CIP,0.2,0.5,77.77777777777779,95.1219512195122,5.688282138794084
338,CIP,0.2,0.6,77.77777777777779,95.1219512195122,5.688282138794084
339,CIP,0.2,0.7000000000000001,77.77777777777779,95.1219512195122,5.688282138794084
340,CIP,0.2,0.8,77.77777777777779,95.23809523809523,5.802047781569966
341,CIP,0.2,0.9,77.77777777777779,95.23809523809523,5.802047781569966
342,CIP,0.30000000000000004,0.1,77.77777777777779,95.1219512195122,5.688282138794084
343,CIP,0.30000000000000004,0.2,77.77777777777779,95.1219512195122,5.688282138794084
344,CIP,0.30000000000000004,0.30000000000000004,77.77777777777779,95.1219512195122,5.688282138794084
345,CIP,0.30000000000000004,0.4,77.77777777777779,95.1219512195122,5.688282138794084
346,CIP,0.30000000000000004,0.5,77.77777777777779,95.1219512195122,5.688282138794084
347,CIP,0.30000000000000004,0.6,77.77777777777779,95.1219512195122,5.688282138794084
348,CIP,0.30000000000000004,0.7000000000000001,77.77777777777779,95.1219512195122,5.688282138794084
349,CIP,0.30000000000000004,0.8,77.77777777777779,95.23809523809523,5.802047781569966
350,CIP,0.30000000000000004,0.9,77.77777777777779,95.23809523809523,5.802047781569966
351,CIP,0.4,0.1,77.77777777777779,95.1219512195122,5.688282138794084
352,CIP,0.4,0.2,77.77777777777779,95.1219512195122,5.688282138794084
353,CIP,0.4,0.30000000000000004,77.77777777777779,95.1219512195122,5.688282138794084
354,CIP,0.4,0.4,77.77777777777779,95.1219512195122,5.688282138794084
355,CIP,0.4,0.5,77.77777777777779,95.1219512195122,5.688282138794084
356,CIP,0.4,0.6,77.77777777777779,95.1219512195122,5.688282138794084
357,CIP,0.4,0.7000000000000001,77.77777777777779,95.1219512195122,5.688282138794084
358,CIP,0.4,0.8,77.77777777777779,95.23809523809523,5.802047781569966
359,CIP,0.4,0.9,77.77777777777779,95.23809523809523,5.802047781569966
360,CIP,0.5,0.1,77.77777777777779,95.1219512195122,5.688282138794084
361,CIP,0.5,0.2,77.77777777777779,95.1219512195122,5.688282138794084
362,CIP,0.5,0.30000000000000004,77.77777777777779,95.1219512195122,5.688282138794084
363,CIP,0.5,0.4,77.77777777777779,95.1219512195122,5.688282138794084
364,CIP,0.5,0.5,77.77777777777779,95.1219512195122,5.688282138794084
365,CIP,0.5,0.6,77.77777777777779,95.1219512195122,5.688282138794084
366,CIP,0.5,0.7000000000000001,77.77777777777779,95.1219512195122,5.688282138794084
367,CIP,0.5,0.8,77.77777777777779,95.23809523809523,5.802047781569966
368,CIP,0.5,0.9,77.77777777777779,95.23809523809523,5.802047781569966
369,CIP,0.6,0.1,77.77777777777779,95.1219512195122,5.688282138794084
370,CIP,0.6,0.2,77.77777777777779,95.1219512195122,5.688282138794084
371,CIP,0.6,0.30000000000000004,77.77777777777779,95.1219512195122,5.688282138794084
372,CIP,0.6,0.4,77.77777777777779,95.1219512195122,5.688282138794084
373,CIP,0.6,0.5,77.77777777777779,95.1219512195122,5.688282138794084
374,CIP,0.6,0.6,77.77777777777779,95.1219512195122,5.688282138794084
375,CIP,0.6,0.7000000000000001,77.77777777777779,95.1219512195122,5.688282138794084
376,CIP,0.6,0.8,77.77777777777779,95.23809523809523,5.802047781569966
377,CIP,0.6,0.9,77.77777777777779,95.23809523809523,5.802047781569966
378,CIP,0.7000000000000001,0.1,77.77777777777779,95.1219512195122,5.688282138794084
379,CIP,0.7000000000000001,0.2,77.77777777777779,95.1219512195122,5.688282138794084
380,CIP,0.7000000000000001,0.30000000000000004,77.77777777777779,95.1219512195122,5.688282138794084
381,CIP,0.7000000000000001,0.4,77.77777777777779,95.1219512195122,5.688282138794084
382,CIP,0.7000000000000001,0.5,77.77777777777779,95.1219512195122,5.688282138794084
383,CIP,0.7000000000000001,0.6,77.77777777777779,95.1219512195122,5.688282138794084
384,CIP,0.7000000000000001,0.7000000000000001,77.77777777777779,95.1219512195122,5.688282138794084
385,CIP,0.7000000000000001,0.8,77.77777777777779,95.23809523809523,5.802047781569966
386,CIP,0.7000000000000001,0.9,77.77777777777779,95.23809523809523,5.802047781569966
387,CIP,0.8,0.1,77.77777777777779,95.1219512195122,5.688282138794084
388,CIP,0.8,0.2,77.77777777777779,95.1219512195122,5.688282138794084
389,CIP,0.8,0.30000000000000004,77.77777777777779,95.1219512195122,5.688282138794084
390,CIP,0.8,0.4,77.77777777777779,95.1219512195122,5.688282138794084
391,CIP,0.8,0.5,77.77777777777779,95.1219512195122,5.688282138794084
392,CIP,0.8,0.6,77.77777777777779,95.1219512195122,5.688282138794084
393,CIP,0.8,0.7000000000000001,77.77777777777779,95.1219512195122,5.688282138794084
394,CIP,0.8,0.8,77.77777777777779,95.23809523809523,5.802047781569966
395,CIP,0.8,0.9,77.77777777777779,95.23809523809523,5.802047781569966
396,CIP,0.9,0.1,77.77777777777779,95.1219512195122,5.688282138794084
397,CIP,0.9,0.2,77.77777777777779,95.1219512195122,5.688282138794084
398,CIP,0.9,0.30000000000000004,77.77777777777779,95.1219512195122,5.688282138794084
399,CIP,0.9,0.4,77.77777777777779,95.1219512195122,5.688282138794084
400,CIP,0.9,0.5,77.77777777777779,95.1219512195122,5.688282138794084
401,CIP,0.9,0.6,77.77777777777779,95.1219512195122,5.688282138794084
402,CIP,0.9,0.7000000000000001,77.77777777777779,95.1219512195122,5.688282138794084
403,CIP,0.9,0.8,77.77777777777779,95.23809523809523,5.802047781569966
404,CIP,0.9,0.9,77.77777777777779,95.23809523809523,5.802047781569966
405,KAN,0.1,0.1,83.26577880718008,92.56366500393804,95.39421887301765
406,KAN,0.1,0.2,82.8505214368482,92.61128958237722,95.48419750309301
407,KAN,0.1,0.30000000000000004,82.21320973348783,92.6530344737187,95.51231582499156
408,KAN,0.1,0.4,81.79710144927537,92.69379463993185,95.52356315375098
409,KAN,0.1,0.5,81.3913043478261,92.72894012838988,95.55168147564953
410,KAN,0.1,0.6,80.39443155452436,92.77668631303209,95.56855246878865
411,KAN,0.1,0.7000000000000001,79.69837587006961,92.81225451688924,95.60229445506691
412,KAN,0.1,0.8,79.00232018561485,92.88191036964344,95.65290743448432
413,KAN,0.1,0.9,78.01624129930394,92.93001962066711,95.68102575638285
414,KAN,0.2,0.1,83.26577880718008,92.56366500393804,95.39421887301765
415,KAN,0.2,0.2,82.8505214368482,92.61128958237722,95.48419750309301
416,KAN,0.2,0.30000000000000004,82.21320973348783,92.6530344737187,95.51231582499156
417,KAN,0.2,0.4,81.79710144927537,92.69379463993185,95.52356315375098
418,KAN,0.2,0.5,81.3913043478261,92.72894012838988,95.55168147564953
419,KAN,0.2,0.6,80.39443155452436,92.77668631303209,95.56855246878865
420,KAN,0.2,0.7000000000000001,79.69837587006961,92.81225451688924,95.60229445506691
421,KAN,0.2,0.8,79.00232018561485,92.88191036964344,95.65290743448432
422,KAN,0.2,0.9,78.01624129930394,92.93001962066711,95.68102575638285
423,KAN,0.30000000000000004,0.1,83.26577880718008,92.56366500393804,95.39421887301765
424,KAN,0.30000000000000004,0.2,82.8505214368482,92.61128958237722,95.48419750309301
425,KAN,0.30000000000000004,0.30000000000000004,82.21320973348783,92.6530344737187,95.51231582499156
426,KAN,0.30000000000000004,0.4,81.79710144927537,92.69379463993185,95.52356315375098
427,KAN,0.30000000000000004,0.5,81.3913043478261,92.72894012838988,95.55168147564953
428,KAN,0.30000000000000004,0.6,80.39443155452436,92.77668631303209,95.56855246878865
429,KAN,0.30000000000000004,0.7000000000000001,79.69837587006961,92.81225451688924,95.60229445506691
430,KAN,0.30000000000000004,0.8,79.00232018561485,92.88191036964344,95.65290743448432
431,KAN,0.30000000000000004,0.9,78.01624129930394,92.93001962066711,95.68102575638285
432,KAN,0.4,0.1,83.26577880718008,92.56366500393804,95.39421887301765
433,KAN,0.4,0.2,82.8505214368482,92.61128958237722,95.48419750309301
434,KAN,0.4,0.30000000000000004,82.21320973348783,92.6530344737187,95.51231582499156
435,KAN,0.4,0.4,81.79710144927537,92.69379463993185,95.52356315375098
436,KAN,0.4,0.5,81.3913043478261,92.72894012838988,95.55168147564953
437,KAN,0.4,0.6,80.39443155452436,92.77668631303209,95.56855246878865
