,Unnamed: 0,DRUG,BACKGROUND_RATE,p_value,SENSITIVITY,SPECIFICITY,DPR,SENSITIVITY2,SPECIFICITY2
81,81.0,INH,0.05,0.95,0.9475574333245312,0.9810632836043008,0.9374475660412104,0.9406028833551768,0.982917170089945
82,82.0,INH,0.1,0.9,0.9456991830850552,0.9827438981000498,0.9583393014262036,0.9285452162516382,0.9837226473352128
83,83.0,INH,0.1,0.95,0.9456614661252404,0.9829011114277572,0.9573775858893824,0.9278636959370904,0.9838904550946436
84,84.0,INH,0.15,0.9,0.945417645802179,0.983008849557522,0.9611835239712712,0.9280209698558324,0.9838904550946436
85,85.0,INH,0.15,0.95,0.9455100728675524,0.9844251193955378,0.9560270917312926,0.9251376146788992,0.9853336018257484
86,86.0,INH,0.2,0.9,0.945069065210408,0.984559395095753,0.9613062961674612,0.925399737876802,0.9853336018257484
87,87.0,INH,0.2,0.95,0.9450330769644488,0.9850312145289444,0.9573161997912872,0.9211533420707732,0.9858370251040408
88,88.0,INH,0.25,0.9,0.9447341540777378,0.9851177881224432,0.9608356694153998,0.9212581913499344,0.9858370251040408
89,89.0,INH,0.25,0.95,0.9444804843766894,0.9852021896521278,0.9578891367068404,0.915910878112713,0.9859377097596992
90,90.0,KAN,0.05,0.9,0.8435003631082062,0.972280382339554,0.9144843911821277,0.8217191368942341,0.9748440662563508
91,91.0,KAN,0.05,0.95,0.8432157148053838,0.9725459843380077,0.9140775262612812,0.8199504775380262,0.9750919079681112
92,92.0,KAN,0.1,0.9,0.826118067978533,0.9740654002949084,0.9562435271489864,0.8167668906968518,0.9752984427279112
93,93.0,KAN,0.1,0.95,0.8259935553168636,0.9741498959056212,0.9560955762686788,0.8160594269543686,0.9753810566318312
94,94.0,KAN,0.15,0.9,0.8256979241231209,0.9743357877965808,0.9623095132416036,0.8160594269543686,0.9753810566318312
95,95.0,KAN,0.15,0.95,0.8246308966510623,0.976740156798198,0.9566503920698328,0.8100459851432614,0.977818166797472
96,96.0,KAN,0.2,0.9,0.8243779300396682,0.9770972611602328,0.9601272377570648,0.808631057658295,0.978066008509232
97,97.0,KAN,0.2,0.95,0.8243779300396682,0.9770705587701874,0.9591285693149876,0.808631057658295,0.978066008509232
98,98.0,KAN,0.25,0.9,0.8234870317002881,0.9771652188870732,0.962790353602604,0.808631057658295,0.978066008509232
99,99.0,KAN,0.25,0.95,0.8243779300396682,0.9771091089365004,0.9605710903979878,0.808631057658295,0.978066008509232
100,100.0,LEV,0.05,0.9,0.9202453987730062,0.9611492281303602,0.8709638481501599,0.8906741180579811,0.9669487815555232
101,101.0,LEV,0.05,0.95,0.9201301048066498,0.9619742489270386,0.8701188967348663,0.8892769821865176,0.9676783890267036
102,102.0,LEV,0.1,0.9,0.9169398907103824,0.9644384802482596,0.8852676685376305,0.8791477471184073,0.9690646432219466
103,103.0,LEV,0.1,0.95,0.9168490153172868,0.9650860260176248,0.8846037781398998,0.8780998952148097,0.969648329198891
104,104.0,LEV,0.15,0.9,0.916452913155002,0.9681314994968132,0.8843623634498159,0.8735592036325532,0.9722749160951408
105,105.0,LEV,0.15,0.95,0.9162380602498164,0.9688078022532368,0.8821292775665399,0.8711142158574922,0.9729315628192032
106,106.0,LEV,0.2,0.9,0.916083916083916,0.9696310549652808,0.8853883758826725,0.8693677960181627,0.9735152487961476
107,107.0,LEV,0.2,0.95,0.916083916083916,0.9695137314184932,0.8826121069467077,0.8693677960181627,0.9735152487961476
108,108.0,LEV,0.25,0.9,0.914401175606172,0.9697978201181464,0.8896734866316616,0.8693677960181627,0.9735152487961476
109,109.0,LEV,0.25,0.95,0.914306730415594,0.9698785155599934,0.8894320719415777,0.8683199441145651,0.9735882095432656
110,110.0,LZD,0.05,0.9,0.3011049723756906,0.9977226595376008,0.9913215370522154,0.3002754820936639,0.9977426636568848
111,111.0,LZD,0.05,0.95,0.3011049723756906,0.9977226595376008,0.9913215370522154,0.3002754820936639,0.9977426636568848
112,112.0,LZD,0.1,0.9,0.299168975069252,0.9977226595376008,0.9912733233691722,0.2975206611570248,0.9977426636568848
113,113.0,LZD,0.1,0.95,0.299168975069252,0.9977226595376008,0.9912733233691722,0.2975206611570248,0.9977426636568848
114,114.0,LZD,0.15,0.9,0.2983425414364641,0.9977342133779924,0.99628754640567,0.2975206611570248,0.9977426636568848
115,115.0,LZD,0.15,0.95,0.299168975069252,0.9977259244611428,0.9926715201774264,0.2975206611570248,0.9977426636568848
116,116.0,LZD,0.2,0.9,0.2983425414364641,0.9977342133779924,0.99628754640567,0.2975206611570248,0.9977426636568848
117,117.0,LZD,0.2,0.95,0.2983425414364641,0.9977342133779924,0.99628754640567,0.2975206611570248,0.9977426636568848
118,118.0,LZD,0.25,0.9,0.2983425414364641,0.9977342133779924,0.99628754640567,0.2975206611570248,0.9977426636568848
119,119.0,LZD,0.25,0.95,0.2983425414364641,0.9977342133779924,0.99628754640567,0.2975206611570248,0.9977426636568848
120,120.0,MXF,0.05,0.9,0.942811755361398,0.9235424121237634,0.8631455310120107,0.919442292796282,0.9354795737122558
121,121.0,MXF,0.05,0.95,0.9427662957074722,0.9237368421052632,0.8628803091728867,0.9186676994577848,0.935657193605684
122,122.0,MXF,0.1,0.9,0.9415049189045468,0.9257773842387624,0.8699276323267533,0.9142783372063,0.9367229129662522
123,123.0,MXF,0.1,0.95,0.9412550066755674,0.9272537235432452,0.8668965255939075,0.9101471727343144,0.9381882770870338
124,124.0,MXF,0.15,0.9,0.9410037373198078,0.928032261400062,0.8747774030993066,0.9101471727343144,0.9381882770870338
125,125.0,MXF,0.15,0.95,0.9411134903640256,0.9285342223148244,0.8689425226385784,0.9078233927188226,0.939076376554174
126,126.0,MXF,0.2,0.9,0.9407506702412868,0.9296175542100088,0.8734512939036866,0.906016008262329,0.9396092362344582
127,127.0,MXF,0.2,0.95,0.9407506702412868,0.9295701708959088,0.8729587390595991,0.906016008262329,0.9396092362344582
128,128.0,MXF,0.25,0.9,0.9337413517828632,0.935385784872672,0.9398704201871708,0.906016008262329,0.9396092362344582
129,129.0,MXF,0.25,0.95,0.9406233207952712,0.9300988971159324,0.8727692948887963,0.903950426026336,0.9400532859680284
130,130.0,PZA,0.05,0.9,0.875632975491189,0.966761756569848,0.9756377285049004,0.8668538199318228,0.967671417160634
131,131.0,PZA,0.05,0.95,0.8752032520325204,0.9675144908729127,0.9744213526099952,0.8634449568879086,0.9684281330138312
132,132.0,PZA,0.1,0.9,0.8670694864048338,0.9687243863508908,0.9666713004795996,0.805694806496892,0.9695211670240048
133,133.0,PZA,0.1,0.95,0.8664353859496965,0.9700635016631388,0.964794606241746,0.8012833366753559,0.9708664396519108
134,134.0,PZA,0.15,0.9,0.8638732088580113,0.9720339710045466,0.970320428164315,0.7978744736314417,0.9725900702064152
135,135.0,PZA,0.15,0.95,0.8626806833114323,0.973748762749064,0.9662542573156322,0.7898536194104672,0.974355740530542
136,136.0,PZA,0.2,0.9,0.8614404918752745,0.9757208542821536,0.9670188364495724,0.7866452777220774,0.9762475301635348
137,137.0,PZA,0.2,0.95,0.8608599779492834,0.9766441567379244,0.9655939389726836,0.7828353719671145,0.97717240509522
138,138.0,PZA,0.25,0.9,0.8606756458379333,0.9769383013510023,0.9651421422117188,0.7816322438339683,0.9774666834825744
139,139.0,PZA,0.25,0.95,0.856001825650388,0.9789178702306532,0.9583999443942448,0.7521556045718869,0.9794425526548116
140,140.0,RIF,0.05,0.9,0.960361658913713,0.9755284678290388,0.9718642961996412,0.9576636613092904,0.9764981328907592
141,141.0,RIF,0.05,0.95,0.9603538663171692,0.9755205751115518,0.9690915022019246,0.957467659741278,0.9765870428546026
142,142.0,RIF,0.1,0.9,0.9602205592753053,0.9757722778357796,0.9745555374327188,0.955703645629165,0.976616679509217
143,143.0,RIF,0.1,0.95,0.960210111621799,0.9758921442171856,0.9743924319034416,0.9554423102051484,0.9767352261276748
144,144.0,RIF,0.15,0.9,0.9595800524934384,0.9761202202415356,0.9809370412656988,0.9554423102051484,0.9767352261276748
145,145.0,RIF,0.15,0.95,0.9595747473421709,0.9760946456884986,0.9793263741640842,0.95531164249314,0.9767648627822892
146,146.0,RIF,0.2,0.9,0.9595747473421709,0.9761904761904762,0.982017615397162,0.95531164249314,0.9767648627822892
147,147.0,RIF,0.2,0.95,0.9595747473421709,0.9761499148211245,0.98087587669222,0.95531164249314,0.9767648627822892
148,148.0,RIF,0.25,0.9,0.9590234816736511,0.9830596422684816,0.9744535964769204,0.9419182020122828,0.9835516566889928
149,149.0,RIF,0.25,0.95,0.9589716264819502,0.9830871333761508,0.9727409884195074,0.9406768587482032,0.9836109299982218
150,150.0,STM,0.05,0.9,0.9555081267443768,0.8857730416900356,0.9345914050322868,0.9428154867973432,0.896361631753032
151,151.0,STM,0.05,0.95,0.9553026554510968,0.8880142442132883,0.9315297261189044,0.938279604730277,0.8986515138665083
152,152.0,STM,0.1,0.9,0.9543700721355476,0.8938626126126126,0.9250167000668004,0.9215940385549976,0.9040793825799338
153,153.0,STM,0.1,0.95,0.9542616033755276,0.8978586317983703,0.9173346693386774,0.9159241859711648,0.9085743363582394
154,154.0,STM,0.15,0.9,0.9534804173080212,0.9091596559221098,0.9143843242039634,0.9031265187105136,0.9184971588499704
155,155.0,STM,0.15,0.95,0.9530224525043178,0.913163664093032,0.906312625250501,0.8938927587882715,0.922737681282334
156,156.0,STM,0.2,0.9,0.9529411764705882,0.9145193496244176,0.9072032954798486,0.8922728009071764,0.9237554066661012
157,157.0,STM,0.2,0.95,0.9521968365553602,0.9202947086403216,0.8985192607437097,0.8776931799773205,0.9293528962768212
158,158.0,STM,0.25,0.9,0.9512883868690434,0.9226434915480852,0.8982965931863728,0.8731572979102543,0.9313035365957086
159,159.0,STM,0.25,0.95,0.9506978430306324,0.9294549671434094,0.8831551992874638,0.8496679086343755,0.9380883724874904
0,,LEV,0.05,0.9,0.9157744468236974,0.9508329289988678,0.915444504798117,0.8962626615438352,0.9556398657522253
1,,LEV,0.05,0.95,0.9152298850574713,0.9636915006966642,0.9043997827267789,0.8899755501222494,0.9676783890267037
2,,LEV,0.1,0.9,0.9120202751629254,0.9660092993426327,0.9195485545295431,0.879846315054139,0.9690646432219466
3,,LEV,0.1,0.95,0.9119246103660746,0.9666292315097064,0.9188846641318125,0.8787984631505414,0.969648329198891
